[2017-01-23 14:40:24] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/admin/index/index/key/ae225f88220e2419d0e8a2d3ec48e5a5c11f7fe4173664b58871b0fdc25290e0/","invalidateInfo":{"tags":["BACKEND_MAINMENU"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:43:53] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/4/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/back/edit","invalidateInfo":{"tags":["catalog_product_4"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:43:54] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/4/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/back/edit","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:45:47] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/4/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product_4"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:45:47] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/4/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:45:47] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/4/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product_"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:45:48] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/4/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:46:28] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/7/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/back/edit","invalidateInfo":{"tags":["catalog_product_7"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:46:28] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/7/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/back/edit","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:47:20] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/7/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product_7"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:47:21] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/7/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:47:21] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/7/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product_"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:47:22] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/7/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:49:32] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/8/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/back/edit","invalidateInfo":{"tags":["catalog_product_8"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:49:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/8/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/back/edit","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:50:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/8/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product_8"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:50:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/8/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:50:44] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/8/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product_"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:50:44] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/8/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:51:20] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/9/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/back/edit","invalidateInfo":{"tags":["catalog_product_9"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:51:20] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/9/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/back/edit","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:52:27] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/9/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product_9"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:52:27] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/9/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
